cut,asset_a,asset_b,n_effective,gated,pearson_r,pearson_p,pearson_ci_lo,pearson_ci_hi,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,pearson_p_q,spearman_p_q
common_window_episode_recession,Equities (S&P 500 TR),Gold,11,False,-0.469,0.14541747360746646,-0.834,0.182,-0.255,0.45003657688882837,-0.742,0.51,0.2908349472149329,0.615839526268923
common_window_episode_recession,Equities (S&P 500 TR),Silver (derived),11,False,-0.237,0.4831726711070264,-0.733,0.423,-0.055,0.8734465775233149,-0.617,0.626,0.6542963254574315,0.9157101215970237
common_window_episode_recession,Equities (S&P 500 TR),Copper (PPI index),11,False,-0.153,0.653876138269116,-0.689,0.492,-0.082,0.8109903943000459,-0.76,0.626,0.7522468847343812,0.8763553819098429
common_window_episode_recession,Equities (S&P 500 TR),Oil (WTI-era),11,False,-0.08,0.8156846247006999,-0.649,0.546,0.282,0.40114489796047825,-0.477,0.889,0.8763553819098429,0.6009860009045439
common_window_episode_recession,Gold,Silver (derived),11,False,0.903,0.00013803175617087436,0.662,0.975,0.882,0.00033016880218390046,0.541,0.991,0.0014953440251844724,0.002524820251994533
common_window_episode_recession,Gold,Copper (PPI index),11,False,0.602,0.05018116421407877,0.003,0.883,0.391,0.23454006709519443,-0.354,0.972,0.12545291053519692,0.4186301956240249
common_window_episode_recession,Gold,Oil (WTI-era),11,False,0.658,0.027831387190377532,0.096,0.902,-0.036,0.9154683168905347,-0.798,0.692,0.09045200836872698,0.9445308031410279
common_window_episode_recession,Silver (derived),Copper (PPI index),11,False,0.74,0.009150371945364968,0.253,0.928,0.564,0.07095173447637551,-0.056,0.934,0.03965161176324819,0.15633433020218332
common_window_episode_recession,Silver (derived),Oil (WTI-era),11,False,0.751,0.007694469537388841,0.276,0.931,0.127,0.709214625773305,-0.841,0.804,0.035724322852162475,0.7880162508592278
common_window_episode_recession,Copper (PPI index),Oil (WTI-era),11,False,0.592,0.054901926777526096,-0.012,0.88,0.255,0.45003657688882837,-0.514,0.799,0.1297681905650617,0.615839526268923
